,title,desc,rate,price,vegetarian,catogory,img
0,restaurant0,D,2,$$$$,no,Italian,https://imagesvc.meredithcorp.io/v3/mm/image?q=85&c=sc&poi=face&w=2000&h=1000&url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F23%2F2020%2F06%2F23%2Fitalian-food-2000.jpg
1,restaurant1,C,3,$,no,chinese,https://ichef.bbci.co.uk/news/976/cpsprodpb/11ADE/production/_110541427_chinesefood.jpg
2,restaurant2,D,3,$$$$,no,america,https://thumbs.dreamstime.com/z/assorted-american-food-assorted-american-food-hamburger-french-fries-bacon-fried-chicken-172985487.jpg
3,restaurant3,A,1,$$$$$,no,chinese,https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/6565465/13914f2b-c1ac-4930-b124-c2e29d49afbb.jpg
4,restaurant4,C,2,$$$$$,no,mexican,https://media1.fdncms.com/sacurrent/imager/u/original/23149095/taquitos_west_ave.png
5,restaurant5,B,1,$$$$,yes,french,https://www.getflavor.com/wp-content/uploads/2019/01/4-Taureaux-Spread.jpg
6,restaurant6,B,5,$$$$,no,brazilian,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/barbecued-meats-24426a4.jpg?quality=90&lb=700,350&background=white"
7,restaurant7,C,3,$$$,no,america,https://media.istockphoto.com/photos/homemade-memorial-day-hamburger-picnic-picture-id531564300?k=20&m=531564300&s=612x612&w=0&h=j8y_MXtEORMI14XvyuzpzrB3msBOwzl-DeWhEHyMFWk=
8,restaurant8,D,3,$$$$,no,french,https://www.englishclub.com/images/vocabulary/food/french/french-food.jpg
9,restaurant9,C,4,$,no,brazilian,https://robbreport.com/wp-content/uploads/2021/09/CABOCO_Credit_DYLAN_JENI.jpg?w=1000
10,restaurant10,E,1,$$,yes,brazilian,https://s.hdnux.com/photos/01/20/20/70/21040663/5/1200x0.jpg
11,restaurant11,B,5,$$$$$,no,french,https://international.uiowa.edu/sites/international.uiowa.edu/files/wysiwyg_uploads/sa_5.jpg
12,restaurant12,A,5,$$,yes,chinese,https://images.ctfassets.net/n3m63hxm9c13/60tqaj5SN5mP4YWAqp6oHT/46a0178d62a0f77c35bd36a6ac9bcd8f/_DSC4756.jpg
13,restaurant13,B,4,$,no,chinese,https://www.farwestchina.com/wp-content/uploads/2020/01/healthy-Chinese-food-dishes-1200x675.jpg
14,restaurant14,A,2,$,no,indian,https://www.blueosa.com/wp-content/uploads/2020/01/the-best-top-10-indian-dishes.jpg
15,restaurant15,A,5,$,yes,french,https://www.goodfoodchannel.org/wp-content/uploads/2016/08/ExpatExplore_macaroons.jpg
16,restaurant16,C,5,$$$$$,yes,mexican,"https://assets.bonappetit.com/photos/5aa98c2d275dc52331d9189d/1:1/w_3439,h_3439,c_limit/party-posole-rojo.jpg"
17,restaurant17,D,5,$$$$$,yes,chinese,https://www.thespruceeats.com/thmb/X6mg_2VBCQQ2X8VrLcPTf8_4ce0=/2733x2050/smart/filters:no_upscale()/chinese-take-out-472927590-57d31fff3df78c5833464e7b.jpg
18,restaurant18,D,3,$$$$,yes,indian,https://sandinmysuitcase.com/wp-content/uploads/2021/01/Popular-Indian-Food-Dishes.jpg.webp
19,restaurant19,B,1,$,no,brazilian,https://blog.amigofoods.com/wp-content/uploads/2019/04/brazilian-foods.jpg
